iter	Passed	Remaining
411	3959	7572
412	3968	7562
413	3977	7551
414	3987	7541
415	3997	7532
416	4007	7524
417	4018	7518
418	4029	7510
419	4038	7500
420	4046	7487
421	4056	7478
422	4066	7469
423	4077	7462
424	4087	7453
425	4098	7446
426	4108	7438
427	4119	7429
428	4130	7422
429	4138	7411
430	4146	7397
431	4154	7386
432	4164	7376
433	4174	7367
434	4182	7355
435	4193	7347
436	4202	7337
437	4212	7328
438	4222	7319
439	4232	7310
440	4242	7302
441	4252	7292
442	4262	7283
443	4272	7274
444	4280	7263
445	4291	7254
446	4300	7244
447	4310	7234
448	4319	7225
449	4329	7215
450	4337	7203
451	4347	7195
452	4357	7185
453	4365	7173
454	4375	7164
455	4385	7155
456	4394	7145
457	4420	7162
458	4436	7162
459	4449	7157
460	4461	7152
461	4472	7143
462	4482	7135
463	4492	7126
464	4503	7118
465	4513	7109
466	4523	7100
467	4532	7089
468	4542	7080
469	4552	7071
470	4562	7061
471	4572	7052
472	4581	7042
473	4592	7033
474	4602	7024
475	4611	7014
476	4621	7004
477	4630	6994
478	4640	6985
479	4649	6973
480	4658	6963
481	4668	6953
482	4685	6956
483	4696	6947
484	4707	6940
485	4718	6932
486	4728	6922
487	4737	6911
488	4746	6902
489	4757	6892
490	4766	6883
491	4775	6872
492	4784	6861
493	4795	6853
494	4805	6844
495	4814	6833
496	4823	6823
497	4832	6811
498	4840	6800
499	4850	6790
500	4861	6782
501	4870	6772
502	4880	6762
503	4890	6753
504	4900	6743
505	4911	6735
506	4920	6725
507	4932	6718
508	4943	6710
509	4952	6700
510	4963	6691
511	4973	6683
512	4983	6673
513	4993	6664
514	5002	6653
515	5011	6643
516	5022	6634
517	5032	6625
518	5043	6617
519	5051	6606
520	5060	6594
521	5071	6586
522	5081	6577
523	5090	6566
524	5098	6555
525	5107	6544
526	5118	6536
527	5128	6526
528	5136	6515
529	5145	6504
530	5155	6494
531	5166	6486
532	5177	6479
533	5188	6470
534	5198	6461
535	5208	6452
536	5219	6443
537	5230	6435
538	5240	6426
539	5249	6415
540	5258	6405
541	5267	6395
542	5277	6385
543	5286	6375
544	5297	6366
545	5305	6355
546	5314	6344
547	5325	6335
548	5334	6325
549	5344	6316
550	5353	6305
551	5363	6295
552	5373	6286
553	5382	6276
554	5393	6268
555	5404	6259
556	5414	6250
557	5422	6239
558	5432	6229
559	5442	6219
560	5452	6210
561	5462	6201
562	5472	6191
563	5482	6182
564	5493	6174
565	5502	6163
566	5511	6153
567	5520	6142
568	5528	6131
569	5539	6122
570	5549	6113
571	5559	6103
572	5570	6094
573	5579	6084
574	5589	6075
575	5600	6066
576	5610	6058
577	5620	6047
578	5628	6037
579	5638	6027
580	5648	6018
581	5657	6007
582	5668	5998
583	5678	5990
584	5688	5980
585	5699	5971
586	5709	5962
587	5719	5952
588	5729	5943
589	5740	5935
590	5750	5925
591	5759	5915
592	5769	5905
593	5778	5895
594	5788	5886
595	5798	5876
596	5808	5867
597	5818	5857
598	5827	5846
599	5836	5836
600	5847	5827
601	5858	5819
602	5867	5809
603	5876	5798
604	5884	5787
605	5894	5778
606	5905	5769
607	5914	5759
608	5924	5748
609	5934	5740
610	5946	5732
611	5955	5722
612	5965	5712
613	5973	5701
614	5984	5692
615	5994	5683
616	6004	5673
617	6014	5664
618	6022	5653
619	6033	5644
620	6043	5634
621	6053	5625
622	6063	5615
623	6072	5605
624	6081	5594
625	6090	5584
626	6100	5574
627	6111	5566
628	6122	5557
629	6132	5548
630	6142	5538
631	6153	5530
632	6162	5519
633	6172	5510
634	6181	5500
635	6191	5490
636	6202	5481
637	6213	5473
638	6223	5464
639	6234	5455
640	6244	5445
641	6253	5435
642	6264	5426
643	6275	5417
644	6284	5407
645	6293	5396
646	6303	5387
647	6313	5378
648	6324	5369
649	6334	5360
650	6345	5351
651	6354	5341
652	6365	5331
653	6376	5323
654	6386	5314
655	6396	5304
656	6406	5295
657	6416	5285
658	6425	5275
659	6435	5265
660	6444	5255
661	6456	5246
662	6466	5237
663	6476	5227
664	6485	5217
665	6495	5208
666	6506	5199
667	6516	5189
668	6525	5179
669	6535	5169
670	6545	5160
671	6555	5150
672	6566	5142
673	6576	5132
674	6585	5122
675	6595	5112
676	6604	5102
677	6612	5091
678	6622	5081
679	6633	5072
680	6642	5062
681	6652	5052
682	6662	5043
683	6673	5034
684	6683	5024
685	6694	5016
686	6705	5006
687	6714	4997
688	6724	4987
689	6734	4977
690	6745	4968
691	6754	4958
692	6763	4948
693	6775	4940
694	6785	4930
695	6796	4921
696	6805	4911
697	6814	4901
698	6824	4891
699	6833	4881
700	6843	4871
701	6853	4862
702	6864	4852
703	6875	4843
704	6885	4834
705	6896	4825
706	6907	4816
707	6918	4807
708	6929	4798
709	6939	4789
710	6950	4780
711	6961	4771
712	6970	4761
713	6980	4751
714	6991	4742
715	7002	4733
716	7013	4724
717	7023	4715
718	7034	4705
719	7044	4696
720	7054	4686
721	7065	4677
722	7074	4667
723	7085	4658
724	7095	4648
725	7105	4639
