iter	RMSE
0	0.1637051145
1	0.1610105877
2	0.1584002073
3	0.155859905
4	0.1533868416
5	0.1509896534
6	0.148649172
7	0.1463873277
8	0.14418854
9	0.1420448324
10	0.1399641782
11	0.1379422269
12	0.1359829847
13	0.1340820807
14	0.1322333189
15	0.1304406732
16	0.1287111909
17	0.1270257021
18	0.1253565584
19	0.1237721288
20	0.1222395132
21	0.1207493239
22	0.1193006042
23	0.1179051704
24	0.116514377
25	0.1151832987
26	0.1138788992
27	0.1126484223
28	0.1114249658
29	0.1102449935
30	0.109108072
31	0.1080263442
32	0.1069554145
33	0.1059182821
34	0.1049205431
35	0.1039700496
36	0.1030527786
37	0.1021566591
38	0.1012885971
39	0.1004371566
40	0.09964142511
41	0.09885026979
42	0.09810449878
43	0.09737407714
44	0.09666493111
45	0.09598099058
46	0.09532757498
47	0.09469636832
48	0.09407047968
49	0.09347740264
50	0.09291113573
51	0.09236193331
52	0.09183269056
53	0.09132613418
54	0.09083650958
55	0.09035546141
56	0.08990057439
57	0.08942774957
58	0.0889962744
59	0.08859143895
60	0.08817299669
61	0.0877606815
62	0.08739972892
63	0.08703881674
64	0.08668880321
65	0.08635293501
66	0.08600844665
67	0.08570916592
68	0.08542080551
69	0.08513699374
70	0.08486260067
71	0.08460010727
72	0.08435095639
73	0.08411168594
74	0.08387999156
75	0.08365558009
76	0.08340881847
77	0.08320562805
78	0.08296627949
79	0.08277563551
80	0.08259052283
81	0.08237212204
82	0.08219750365
83	0.082005208
84	0.08181695136
85	0.08163160433
86	0.08145752501
87	0.08129304546
88	0.08112922773
89	0.08099156199
90	0.08084398231
91	0.08071829511
92	0.08059716727
93	0.08048097568
94	0.08034384054
95	0.08023851487
96	0.08011071215
97	0.08001312948
98	0.07991720924
99	0.07980074956
100	0.07969073593
101	0.0796059918
102	0.07952571837
103	0.07945090913
104	0.07937532298
105	0.07927880369
106	0.07919310272
107	0.0791032863
108	0.07901796326
109	0.0789334536
110	0.07887341581
111	0.07879554637
112	0.07873881732
113	0.07867079688
114	0.07859994844
115	0.07855075548
116	0.07848730187
117	0.07842230547
118	0.07836250395
119	0.07831775218
120	0.07826496178
121	0.07820880738
122	0.07815926599
123	0.07811431158
124	0.07806633261
125	0.07802217166
126	0.07797718465
127	0.07793411791
128	0.07789469736
129	0.07785552598
130	0.07782568348
131	0.07778839576
132	0.07775900279
133	0.07773030143
134	0.07769507558
135	0.07766282562
136	0.07763064417
137	0.07760141533
138	0.07757192108
139	0.077541852
140	0.07751514928
141	0.07749016567
142	0.07746482483
143	0.07744386126
144	0.0774207685
145	0.07739781037
146	0.07737669174
147	0.07735920265
148	0.07733846936
149	0.0773186541
150	0.07729920765
151	0.07728355084
152	0.07726508308
153	0.07724672782
154	0.07723180038
155	0.07721530767
156	0.07719990752
157	0.0771850709
158	0.07717156142
159	0.07715873303
160	0.07714276117
161	0.07712832916
162	0.07711612701
163	0.07710233846
164	0.07709010712
165	0.0770772368
166	0.0770660233
167	0.07705473873
168	0.07704435304
169	0.07703229862
170	0.07702069202
171	0.0770101593
172	0.07700054999
173	0.07699067393
174	0.07698180661
175	0.07697288793
176	0.07696438798
177	0.0769567059
178	0.07694714733
179	0.07693817213
180	0.07693076005
181	0.07692269944
182	0.07691478544
183	0.07690769548
184	0.07690030521
185	0.07689300881
186	0.07688630691
187	0.07687856219
188	0.07687199516
189	0.07686593275
190	0.07685918082
191	0.07685224195
192	0.07684808837
193	0.07684209213
194	0.07683615434
195	0.07683030875
196	0.07682512939
197	0.07681960205
198	0.07681470862
199	0.07681012312
200	0.07680460598
201	0.0767993931
202	0.07679380585
203	0.07678930323
204	0.07678459298
205	0.07678013821
206	0.0767754587
207	0.07677245921
208	0.07676926553
209	0.07676547609
210	0.07676110295
211	0.07675702273
212	0.07675282085
213	0.07674897896
214	0.07674594373
215	0.07674187798
216	0.07673747613
217	0.07673419478
218	0.07673153377
219	0.0767280959
220	0.07672564423
221	0.07672230606
222	0.07671873321
223	0.07671456897
224	0.07671147436
225	0.07670931442
226	0.07670729813
227	0.07670418621
228	0.0767010099
229	0.07669856086
230	0.07669496553
231	0.07669235096
232	0.07669033623
233	0.07668789114
234	0.07668582172
235	0.07668260386
236	0.07668010103
237	0.07667720846
238	0.07667461982
239	0.07667259851
240	0.07666924247
241	0.07666672133
242	0.07666454856
243	0.07666198519
244	0.0766597945
245	0.07665737686
246	0.07665454815
247	0.07665274565
248	0.07665036148
249	0.07664788355
250	0.0766459237
251	0.07664408653
252	0.07664154204
253	0.07663984405
254	0.07663851242
255	0.07663678842
256	0.07663506364
257	0.0766331592
258	0.0766311294
259	0.07662921601
260	0.07662683838
261	0.07662511407
262	0.07662365531
263	0.07662122158
264	0.07661936896
265	0.07661727609
266	0.07661584235
267	0.07661402613
268	0.07661150714
269	0.07660976272
270	0.07660824571
271	0.07660651059
272	0.07660498747
273	0.07660343244
274	0.07660230511
275	0.07660087264
276	0.07659910985
277	0.07659796814
278	0.07659663211
279	0.07659577768
280	0.07659437295
281	0.07659302349
282	0.07659188068
283	0.0765907941
284	0.07658902185
285	0.07658697203
286	0.07658489755
287	0.07658350494
288	0.07658216659
289	0.07658063828
290	0.07657896977
291	0.07657776863
292	0.07657605493
293	0.07657481407
294	0.07657366896
295	0.07657183827
296	0.07657131968
297	0.07656934422
298	0.07656849005
299	0.07656697296
300	0.07656577455
301	0.076564744
302	0.07656374084
303	0.07656234499
304	0.0765610336
305	0.07656008715
306	0.07655898278
307	0.07655768578
308	0.07655694113
309	0.07655569738
310	0.07655324517
311	0.07655254718
312	0.0765517201
313	0.0765505624
314	0.07654991315
315	0.07654833279
316	0.07654710326
317	0.07654610205
318	0.07654599236
319	0.07654462093
320	0.07654360632
321	0.0765428174
322	0.07654182523
323	0.07654083796
324	0.07653976753
325	0.0765389838
326	0.07653744687
327	0.07653641408
328	0.07653538284
329	0.07653406231
330	0.07653328986
331	0.07653195461
332	0.07653112712
333	0.07653019903
334	0.0765292891
335	0.07652836198
336	0.07652739947
337	0.07652594145
338	0.07652482096
339	0.07652389485
340	0.07652225494
341	0.07652122902
342	0.07652070852
343	0.0765200253
344	0.07651911848
345	0.07651786055
346	0.07651676824
347	0.07651534731
348	0.0765144956
349	0.07651377734
350	0.07651242737
351	0.07651156167
352	0.07651099939
353	0.07651018029
354	0.07650940347
355	0.07650881124
356	0.07650793238
357	0.07650612061
358	0.07650537677
359	0.07650513457
360	0.07650428831
361	0.07650293539
362	0.07650217604
363	0.07650139683
364	0.07650012754
365	0.07649956084
366	0.07649863959
367	0.07649776178
368	0.0764970646
369	0.07649647034
370	0.07649553151
371	0.07649431432
372	0.07649372009
373	0.07649317235
374	0.07649277733
375	0.07649205635
376	0.07649041829
377	0.07648927005
378	0.07648840462
379	0.07648747422
380	0.07648648071
381	0.07648540633
382	0.07648475382
383	0.07648431878
384	0.07648349714
385	0.07648247105
386	0.07648191734
387	0.0764805895
388	0.07647998682
389	0.07647911476
390	0.07647827537
391	0.07647722556
392	0.07647600402
393	0.07647535387
394	0.07647452871
395	0.07647408526
396	0.07647338369
397	0.07647249406
398	0.07647179661
399	0.07647108822
400	0.07647005892
401	0.07646892902
402	0.07646827501
403	0.07646766698
404	0.07646660302
405	0.07646588842
406	0.07646507586
407	0.0764645527
408	0.07646394876
409	0.07646301913
410	0.07646241659
411	0.07646163914
412	0.07646111791
413	0.07646062117
414	0.07645987511
415	0.07645927545
416	0.07645847305
417	0.07645798443
418	0.07645712222
419	0.07645651734
420	0.07645649211
421	0.07645542789
422	0.07645433885
423	0.07645324035
424	0.07645281554
425	0.07645212327
426	0.07645151697
427	0.07645061941
428	0.07644983039
429	0.07644931648
430	0.07644920519
431	0.07644832641
432	0.07644764695
433	0.07644714076
434	0.07644687668
435	0.07644597708
436	0.07644516772
437	0.0764445569
438	0.07644409517
439	0.07644357741
440	0.07644323117
441	0.07644246399
442	0.07644191965
443	0.07644105772
444	0.07644058547
445	0.07643961636
446	0.07643912012
447	0.07643871611
448	0.07643768499
449	0.07643698376
450	0.07643636941
451	0.07643544461
452	0.07643491062
453	0.07643451981
454	0.07643331983
455	0.07643302156
456	0.0764325826
457	0.07643205196
458	0.07643151993
459	0.07643110893
460	0.07643051493
461	0.07643000445
462	0.07642941632
463	0.07642885832
464	0.07642811918
465	0.07642758908
466	0.07642709816
467	0.07642661217
468	0.07642615546
469	0.07642514584
470	0.07642453337
471	0.07642419557
472	0.07642339408
473	0.07642287402
474	0.07642262396
475	0.07642229583
476	0.07642193238
477	0.07642133394
478	0.07642086762
479	0.07642055901
480	0.07642009393
481	0.07641961118
482	0.07641917252
483	0.07641845682
484	0.07641785918
485	0.07641711354
486	0.07641631036
487	0.07641588626
488	0.07641537898
489	0.07641461705
490	0.07641415829
